"REF_DATE","GEO","DGUID","Educational qualification","Field of study","Gender","Age group","Status of student in Canada","Characteristics after graduation","Graduate statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2018","Canada","2021A11124","Undergraduate degree","Education [1]","Total, gender","15 to 34 years" ,"Canadian and international students","Graduates reporting employment income","Number of graduates","Number","223","units","0","v1664743506","1.7.2.1.2.1.4.1","8640","","","","0"
"2018","Canada","2021A11124","Undergraduate degree","Education [1]","Total, gender","15 to 34 years" ,"Canadian and international students","Graduates reporting employment income","Median employment income two years after graduation","2023 constant dollars","449","units","0","v1664743507","1.7.2.1.2.1.4.2","57500","","","","0"
"2018","Canada","2021A11124","Undergraduate degree","Education [1]","Total, gender","15 to 34 years" ,"Canadian and international students","Graduates reporting employment income","Median employment income five years after graduation","2023 constant dollars","449","units","0","v1664743508","1.7.2.1.2.1.4.3","62200","","","","0"
"2018","Canada","2021A11124","Undergraduate degree","Visual and performing arts, and communications technologies [2]","Total, gender","15 to 34 years" ,"Canadian and international students","Graduates reporting employment income","Number of graduates","Number","223","units","0","v1664743749","1.7.4.1.2.1.4.1","4660","","","","0"
"2018","Canada","2021A11124","Undergraduate degree","Visual and performing arts, and communications technologies [2]","Total, gender","15 to 34 years" ,"Canadian and international students","Graduates reporting employment income","Median employment income two years after graduation","2023 constant dollars","449","units","0","v1664743750","1.7.4.1.2.1.4.2","29700","","","","0"
"2018","Canada","2021A11124","Undergraduate degree","Visual and performing arts, and communications technologies [2]","Total, gender","15 to 34 years" ,"Canadian and international students","Graduates reporting employment income","Median employment income five years after graduation","2023 constant dollars","449","units","0","v1664743751","1.7.4.1.2.1.4.3","43000","","","","0"
"2018","Canada","2021A11124","Undergraduate degree","Humanities [3]","Total, gender","15 to 34 years" ,"Canadian and international students","Graduates reporting employment income","Number of graduates","Number","223","units","0","v1664743992","1.7.7.1.2.1.4.1","4290","","","","0"
"2018","Canada","2021A11124","Undergraduate degree","Humanities [3]","Total, gender","15 to 34 years" ,"Canadian and international students","Graduates reporting employment income","Median employment income two years after graduation","2023 constant dollars","449","units","0","v1664743993","1.7.7.1.2.1.4.2","39700","","","","0"
"2018","Canada","2021A11124","Undergraduate degree","Humanities [3]","Total, gender","15 to 34 years" ,"Canadian and international students","Graduates reporting employment income","Median employment income five years after graduation","2023 constant dollars","449","units","0","v1664743994","1.7.7.1.2.1.4.3","52300","","","","0"
"2018","Canada","2021A11124","Undergraduate degree","Social and behavioural sciences and law [4]","Total, gender","15 to 34 years" ,"Canadian and international students","Graduates reporting employment income","Number of graduates","Number","223","units","0","v1664744235","1.7.16.1.2.1.4.1","17990","","","","0"
"2018","Canada","2021A11124","Undergraduate degree","Social and behavioural sciences and law [4]","Total, gender","15 to 34 years" ,"Canadian and international students","Graduates reporting employment income","Median employment income two years after graduation","2023 constant dollars","449","units","0","v1664744236","1.7.16.1.2.1.4.2","46900","","","","0"
"2018","Canada","2021A11124","Undergraduate degree","Social and behavioural sciences and law [4]","Total, gender","15 to 34 years" ,"Canadian and international students","Graduates reporting employment income","Median employment income five years after graduation","2023 constant dollars","449","units","0","v1664744237","1.7.16.1.2.1.4.3","60200","","","","0"
"2018","Canada","2021A11124","Undergraduate degree","Business, management and public administration [5]","Total, gender","15 to 34 years" ,"Canadian and international students","Graduates reporting employment income","Number of graduates","Number","223","units","0","v1664744478","1.7.24.1.2.1.4.1","25450","","","","0"
"2018","Canada","2021A11124","Undergraduate degree","Business, management and public administration [5]","Total, gender","15 to 34 years" ,"Canadian and international students","Graduates reporting employment income","Median employment income two years after graduation","2023 constant dollars","449","units","0","v1664744479","1.7.24.1.2.1.4.2","59300","","","","0"
"2018","Canada","2021A11124","Undergraduate degree","Business, management and public administration [5]","Total, gender","15 to 34 years" ,"Canadian and international students","Graduates reporting employment income","Median employment income five years after graduation","2023 constant dollars","449","units","0","v1664744480","1.7.24.1.2.1.4.3","74600","","","","0"
